Generating 5000 puzzles for size 9x9
Size 9x9 | 100/5000 | Last gen: 0.01s | Total elapsed: 1.35s
Size 9x9 | 200/5000 | Last gen: 0.01s | Total elapsed: 2.70s
Size 9x9 | 300/5000 | Last gen: 0.01s | Total elapsed: 4.04s
Size 9x9 | 400/5000 | Last gen: 0.02s | Total elapsed: 5.40s
Size 9x9 | 500/5000 | Last gen: 0.01s | Total elapsed: 6.79s
Size 9x9 | 600/5000 | Last gen: 0.01s | Total elapsed: 8.11s
Size 9x9 | 700/5000 | Last gen: 0.01s | Total elapsed: 9.47s
Size 9x9 | 800/5000 | Last gen: 0.01s | Total elapsed: 10.77s
Size 9x9 | 900/5000 | Last gen: 0.02s | Total elapsed: 12.12s
Size 9x9 | 1000/5000 | Last gen: 0.01s | Total elapsed: 13.47s
Size 9x9 | 1100/5000 | Last gen: 0.01s | Total elapsed: 14.85s
Size 9x9 | 1200/5000 | Last gen: 0.01s | Total elapsed: 16.24s
Size 9x9 | 1300/5000 | Last gen: 0.01s | Total elapsed: 17.66s
Size 9x9 | 1400/5000 | Last gen: 0.01s | Total elapsed: 19.03s
Size 9x9 | 1500/5000 | Last gen: 0.01s | Total elapsed: 20.37s
Size 9x9 | 1600/5000 | Last gen: 0.01s | Total elapsed: 21.73s
Size 9x9 | 1700/5000 | Last gen: 0.01s | Total elapsed: 23.13s
Size 9x9 | 1800/5000 | Last gen: 0.01s | Total elapsed: 24.51s
Size 9x9 | 1900/5000 | Last gen: 0.01s | Total elapsed: 25.91s
Size 9x9 | 2000/5000 | Last gen: 0.02s | Total elapsed: 27.28s
Size 9x9 | 2100/5000 | Last gen: 0.01s | Total elapsed: 28.63s
Size 9x9 | 2200/5000 | Last gen: 0.01s | Total elapsed: 30.01s
Size 9x9 | 2300/5000 | Last gen: 0.01s | Total elapsed: 31.38s
Size 9x9 | 2400/5000 | Last gen: 0.01s | Total elapsed: 32.75s
Size 9x9 | 2500/5000 | Last gen: 0.01s | Total elapsed: 34.10s
Size 9x9 | 2600/5000 | Last gen: 0.02s | Total elapsed: 35.49s
Size 9x9 | 2700/5000 | Last gen: 0.01s | Total elapsed: 36.92s
Size 9x9 | 2800/5000 | Last gen: 0.01s | Total elapsed: 38.34s
Size 9x9 | 2900/5000 | Last gen: 0.02s | Total elapsed: 39.68s
Size 9x9 | 3000/5000 | Last gen: 0.01s | Total elapsed: 41.07s
Size 9x9 | 3100/5000 | Last gen: 0.01s | Total elapsed: 42.40s
Size 9x9 | 3200/5000 | Last gen: 0.01s | Total elapsed: 43.74s
Size 9x9 | 3300/5000 | Last gen: 0.01s | Total elapsed: 45.07s
Size 9x9 | 3400/5000 | Last gen: 0.02s | Total elapsed: 46.49s
Size 9x9 | 3500/5000 | Last gen: 0.02s | Total elapsed: 47.87s
Size 9x9 | 3600/5000 | Last gen: 0.01s | Total elapsed: 49.21s
Size 9x9 | 3700/5000 | Last gen: 0.02s | Total elapsed: 50.61s
Size 9x9 | 3800/5000 | Last gen: 0.01s | Total elapsed: 52.00s
Size 9x9 | 3900/5000 | Last gen: 0.01s | Total elapsed: 53.39s
Size 9x9 | 4000/5000 | Last gen: 0.01s | Total elapsed: 54.74s
Size 9x9 | 4100/5000 | Last gen: 0.01s | Total elapsed: 56.12s
Size 9x9 | 4200/5000 | Last gen: 0.01s | Total elapsed: 57.47s
Size 9x9 | 4300/5000 | Last gen: 0.02s | Total elapsed: 58.91s
Size 9x9 | 4400/5000 | Last gen: 0.01s | Total elapsed: 60.28s
Size 9x9 | 4500/5000 | Last gen: 0.01s | Total elapsed: 61.64s
Size 9x9 | 4600/5000 | Last gen: 0.01s | Total elapsed: 62.97s
Size 9x9 | 4700/5000 | Last gen: 0.01s | Total elapsed: 64.31s
Size 9x9 | 4800/5000 | Last gen: 0.02s | Total elapsed: 65.68s
Size 9x9 | 4900/5000 | Last gen: 0.01s | Total elapsed: 67.19s
Size 9x9 | 5000/5000 | Last gen: 0.01s | Total elapsed: 68.63s
Saved outputs/dataset_9x9.npz
